# BEST random-per-pixel fusion
# L2=0.089034, trial=76, ref=Exact
# i,point,x,t,lambda
0,y2,0.0000000000,0.0000000000,0.75
0,gt2,0.1430000000,0.0000000000,0.00
0,gt1,0.5710000000,0.0000000000,0.00
0,y1,1.0000000000,0.0000000000,0.50
1,y2,0.0000000000,0.0022220000,0.25
1,gt2,0.1430000000,0.0022220000,1.00
1,gt1,0.5710000000,0.0022220000,0.75
1,y1,1.0000000000,0.0022220000,0.00
2,y2,0.0000000000,0.0044440000,0.25
2,gt2,0.1430000000,0.0044440000,0.50
2,gt1,0.5710000000,0.0044440000,0.00
2,y1,1.0000000000,0.0044440000,0.00
3,y2,0.0000000000,0.0066670000,0.00
3,gt2,0.1430000000,0.0066670000,0.00
3,gt1,0.5710000000,0.0066670000,1.00
3,y1,1.0000000000,0.0066670000,0.75
4,y2,0.0000000000,0.0088890000,0.25
4,gt2,0.1430000000,0.0088890000,0.25
4,gt1,0.5710000000,0.0088890000,0.50
4,y1,1.0000000000,0.0088890000,0.75
5,y2,0.0000000000,0.0111110000,0.25
5,gt2,0.1430000000,0.0111110000,0.25
5,gt1,0.5710000000,0.0111110000,0.50
5,y1,1.0000000000,0.0111110000,0.00
6,y2,0.0000000000,0.0133330000,0.25
6,gt2,0.1430000000,0.0133330000,0.75
6,gt1,0.5710000000,0.0133330000,1.00
6,y1,1.0000000000,0.0133330000,0.75
7,y2,0.0000000000,0.0155560000,1.00
7,gt2,0.1430000000,0.0155560000,1.00
7,gt1,0.5710000000,0.0155560000,0.75
7,y1,1.0000000000,0.0155560000,0.75
8,y2,0.0000000000,0.0177780000,0.25
8,gt2,0.1430000000,0.0177780000,0.00
8,gt1,0.5710000000,0.0177780000,0.25
8,y1,1.0000000000,0.0177780000,1.00
9,y2,0.0000000000,0.0200000000,0.75
9,gt2,0.1430000000,0.0200000000,0.50
9,gt1,0.5710000000,0.0200000000,0.50
9,y1,1.0000000000,0.0200000000,0.00
10,y2,0.0000000000,0.0222220000,0.00
10,gt2,0.1430000000,0.0222220000,1.00
10,gt1,0.5710000000,0.0222220000,1.00
10,y1,1.0000000000,0.0222220000,0.75
11,y2,0.0000000000,0.0244440000,0.25
11,gt2,0.1430000000,0.0244440000,1.00
11,gt1,0.5710000000,0.0244440000,0.50
11,y1,1.0000000000,0.0244440000,0.50
12,y2,0.0000000000,0.0266670000,0.50
12,gt2,0.1430000000,0.0266670000,0.75
12,gt1,0.5710000000,0.0266670000,0.75
12,y1,1.0000000000,0.0266670000,0.75
13,y2,0.0000000000,0.0288890000,0.00
13,gt2,0.1430000000,0.0288890000,0.50
13,gt1,0.5710000000,0.0288890000,0.00
13,y1,1.0000000000,0.0288890000,0.00
14,y2,0.0000000000,0.0311110000,0.75
14,gt2,0.1430000000,0.0311110000,0.50
14,gt1,0.5710000000,0.0311110000,1.00
14,y1,1.0000000000,0.0311110000,0.00
15,y2,0.0000000000,0.0333330000,1.00
15,gt2,0.1430000000,0.0333330000,0.25
15,gt1,0.5710000000,0.0333330000,0.75
15,y1,1.0000000000,0.0333330000,1.00
16,y2,0.0000000000,0.0355560000,0.00
16,gt2,0.1430000000,0.0355560000,0.25
16,gt1,0.5710000000,0.0355560000,0.25
16,y1,1.0000000000,0.0355560000,1.00
17,y2,0.0000000000,0.0377780000,1.00
17,gt2,0.1430000000,0.0377780000,0.00
17,gt1,0.5710000000,0.0377780000,0.75
17,y1,1.0000000000,0.0377780000,0.50
18,y2,0.0000000000,0.0400000000,0.75
18,gt2,0.1430000000,0.0400000000,0.75
18,gt1,0.5710000000,0.0400000000,0.75
18,y1,1.0000000000,0.0400000000,1.00
19,y2,0.0000000000,0.0422220000,0.25
19,gt2,0.1430000000,0.0422220000,0.00
19,gt1,0.5710000000,0.0422220000,0.50
19,y1,1.0000000000,0.0422220000,0.75
20,y2,0.0000000000,0.0444440000,0.25
20,gt2,0.1430000000,0.0444440000,1.00
20,gt1,0.5710000000,0.0444440000,0.00
20,y1,1.0000000000,0.0444440000,0.00
21,y2,0.0000000000,0.0466670000,1.00
21,gt2,0.1430000000,0.0466670000,0.00
21,gt1,0.5710000000,0.0466670000,1.00
21,y1,1.0000000000,0.0466670000,0.25
22,y2,0.0000000000,0.0488890000,0.00
22,gt2,0.1430000000,0.0488890000,0.25
22,gt1,0.5710000000,0.0488890000,1.00
22,y1,1.0000000000,0.0488890000,0.00
